symbol,avg_high,avg_low,avg_amplitude,max_high,max_amplitude,std_amplitude,range_high,range_low,num_records
600529,30.46585050029429,29.37737492642731,1.0884755738669805,76.85,8.14,0.8941533826863609,58.24999999999999,53.669999999999995,1699
APH,49.685100849020834,48.59829945005713,1.0868013989637155,144.0921388712667,13.614840290197066,1.0905169767955816,127.86905051047498,125.68556680532566,1507
688126,23.702029090909093,22.617083636363635,1.0849454545454544,69.0,17.03000000000001,1.154504528408487,57.94,46.54,1375
GIS,58.1629474259667,57.07938041750835,1.083567008458343,81.29308490407276,5.7539300100853765,0.563663058834571,41.630624179722666,42.76621099940482,1507
600085,38.24045909358446,37.16034726309594,1.0801118304885227,64.28,5.439999999999998,0.7808821013701512,40.71,38.08,1699
000034,25.18850500294291,24.10842260153031,1.0800824014125958,60.49,6.719999999999999,0.7803824044361223,49.5,45.15,1699
300207,22.846115361977635,21.77234255444379,1.0737728075338433,55.0,7.390000000000001,0.8394767409111039,46.65,43.9,1699
601633,26.044290759270158,24.97097115950559,1.0733195997645673,69.8,7.649999999999999,1.0217600936176514,64.17,60.33,1699
300285,28.635673925838727,27.56270747498528,1.072966450853443,58.0,5.699999999999996,0.6682444954961161,43.53,40.43,1699
000818,25.531361474435197,24.460969084423304,1.0703923900118906,47.26,8.39,0.7264992456959504,39.36,34.3,1682
600588,25.737068864037667,24.668728663919953,1.0683402001177165,54.85,6.780000000000001,0.8272198697968142,46.55,43.35,1699
EVRG,55.1125811992167,54.0568089979564,1.0557722012603035,78.59195277931003,9.0882061656379,0.6525002125121143,40.656322623072825,43.98435502970314,1507
603979,27.318716892289583,26.26354326074161,1.0551736315479692,82.93,8.409999999999997,0.9094422689756532,75.51,68.84,1699
BMY,52.781536022189634,51.72865471267714,1.0528813095124845,70.47510878792146,4.569851744789219,0.49429242695155,33.46399513966367,33.22840698381786,1507
000938,26.9691524426133,25.920329605650384,1.0488228369629193,53.1,6.82,0.7166188535941677,37.64,35.78,1699
002294,31.17688640376692,30.13107710417893,1.0458092995879928,65.63,5.880000000000003,0.7422344144299263,48.209999999999994,44.989999999999995,1699
FTV,51.524205733988886,50.482206913791444,1.0419988201974373,65.13610123051127,7.287994899599568,0.5608197829393775,37.41218619897068,41.138295645855976,1507
000651,45.55203189604253,44.52498523331364,1.0270466627288837,70.56,6.720000000000006,0.6327824310367133,41.19,40.93000000000001,1693
002407,22.81921718658034,21.792695703354916,1.0265214832254266,66.2,7.420000000000002,1.002523050764237,56.6,53.75,1699
DOW,41.643715571817964,40.619329421447674,1.0243861503703013,57.90512980023403,4.814359102003991,0.47401543223090525,39.39406414441416,39.54205689258768,1507
000786,29.01831665685697,27.99725132430842,1.021065332548558,57.0,5.560000000000002,0.6458674588683092,43.0,41.25,1699
002223,32.022436727486756,31.005332548557973,1.0171041789287816,42.18,5.670000000000002,0.6350321985600126,23.19,22.250000000000004,1699
601628,34.074861683343144,33.06510888758093,1.0097527957622132,52.16,5.339999999999996,0.6110288586813138,31.83,29.689999999999998,1699
TFC,38.982303907815044,37.97590546798788,1.006398439827164,56.291027034984374,4.821043655896027,0.5174945374934468,34.46262856623912,36.166850243839264,1507
002138,27.60566215420836,26.59991171277222,1.005750441436139,43.67,3.66,0.5146198778801108,29.57,28.16,1699
APA,25.066501121613772,24.061440505032436,1.0050606165813352,45.67519233752614,5.081862464547264,0.5583334137099316,42.09264612291141,41.44433068172816,1507
MDLZ,59.111674227944114,58.10661492208662,1.005059305857497,72.90159760730795,4.301691837609354,0.5101241728486664,34.09155844160743,36.6048058110248,1507
KR,45.75647723645703,44.755582664475746,1.000894571981282,74.12596898354298,5.366483986783294,0.6113227180865664,50.116587215595814,49.82761426999775,1507
601877,29.45103590347263,28.450200117716303,1.0008357857563273,64.12,7.890000000000008,0.8973733868350344,46.910000000000004,42.57,1699
002555,22.684885226603882,21.684496762801647,1.0003884638022367,51.08,5.069999999999997,0.7030330923274725,41.55,39.68,1699
002050,23.725573866980575,22.72594467333726,0.9996291936433195,56.49,5.619999999999997,0.6211886810876988,46.36,42.769999999999996,1699
002129,24.00445556209535,23.005591524426134,0.998864037669217,62.21,6.919999999999995,0.8374665780379579,54.96,52.79,1699
TSCO,41.15151509006091,40.15448055542536,0.9970345346355521,63.474042085681226,5.961542717985239,0.5203741936556667,50.49230293209714,49.859532431069454,1507
600118,27.846845203060624,26.855473808122422,0.991371394938199,96.05,12.040000000000006,0.9132376495209379,78.22,71.62,1699
MNST,49.98732577844732,49.0038586434894,0.9834671349579243,78.30999755859375,4.1100006103515625,0.4765868139101811,51.639997482299805,52.44000053405762,1507
WMT,58.058951650560324,57.08048296019024,0.9784686903700828,117.44999694824219,7.727404148289452,0.6934993370176767,84.20804258285074,84.39524835921387,1507
O,52.09359102864948,51.1157091328068,0.9778818958426859,62.13498893630361,9.049488741970663,0.628964848709501,28.602890994648845,34.152069904622664,1507
002007,28.65531489111242,27.680912301353736,0.9744025897586817,76.0,9.400000000000006,0.9329486657088447,62.04,52.879999999999995,1699
605589,25.330225140712948,24.357439024390242,0.9727861163227017,46.0,5.760000000000002,0.6588878750799095,29.75,25.529999999999998,1066
LNT,51.110193109486055,50.13786045408469,0.972332655401358,69.02870286823888,5.249421187602351,0.5116497254648673,35.41920599499984,37.51834712671335,1507
CFG,34.59337264514256,33.621926018774374,0.971446626368183,60.099998474121094,5.139234486326838,0.47810512987797443,46.46675768289173,48.63691340497657,1507
NCLH,21.08328468750547,20.113463841294642,0.9698208462108265,59.779998779296875,5.280000686645508,0.6034326255354909,50.92999839782715,51.510000705718994,1507
600111,24.239723366686288,23.271124190700412,0.968599175985874,62.1,9.020000000000003,1.0256354684817013,53.52,50.16,1699
600426,26.95494997057093,25.98909358446145,0.9658563861094762,52.58,5.119999999999997,0.6354527006477912,41.01,37.56,1699
002595,32.23439670394349,31.28063566804002,0.9537610359034726,88.19,7.049999999999997,0.65175692603157,72.55,68.73,1699
600183,23.524178928781637,22.572483814008237,0.9516951147733962,75.4,7.719999999999999,0.8931299883145526,65.53,61.53000000000001,1699
USB,40.21654117792542,39.26628780908993,0.9502533688354871,54.62195932657655,4.246536174035462,0.46834376716581705,30.3009974550555,32.03267232106416,1507
600511,31.78617422012949,30.839676280164802,0.946497939964685,62.95,8.150000000000006,0.7779582181930746,41.61,36.4,1699
AMCR,47.167832414114486,46.221775780515685,0.946056633598796,58.783161162675086,5.001211670637474,0.48960375615861973,34.213960646928015,34.916353136652816,1507
FOXA,37.07022712839348,36.12711076427525,0.9431163641182224,74.67500305175781,6.184564869170462,0.5623289182828827,54.843318381252196,55.390178313129056,1507
IP,38.45276697385559,37.5204549131304,0.9323120607251904,57.99492442760909,6.171835602532475,0.5301118763562035,37.01131345787304,37.53051437435542,1507
002156,21.665291347851678,20.74311948204826,0.9221718658034138,47.99,6.490000000000002,0.6197723507974038,40.79,37.66,1699
601155,24.826804002354326,23.907610359034727,0.9191936433195997,53.28,4.390000000000001,0.6331187206788416,45.04,41.55,1699
002472,21.20848145968217,20.289364331959973,0.9191171277221895,53.5,5.060000000000002,0.7584974287602388,48.63,45.89,1699
000408,24.190295508274232,23.27613475177305,0.914160756501182,87.68,5.730000000000004,0.7855437758665886,84.01,79.46000000000001,1692
002624,20.95054738081224,20.0372984108299,0.9132489699823426,63.82,6.119999999999997,0.7814024554241975,56.65,52.910000000000004,1699
000032,19.615799763033177,18.70302132701422,0.9127784360189574,41.55,4.939999999999998,0.6615390594762488,34.29,31.19,1688
CMG,37.915790188921626,37.00334876312985,0.9124414257917803,69.26139831542969,5.599998474121094,0.5577416497313878,59.26139831542969,59.10000133514404,1507
600036,39.435155974102415,38.52500882872278,0.9101471453796351,58.92,3.759999999999998,0.5327507344288915,33.870000000000005,33.230000000000004,1699
300118,17.89927015891701,16.996486168334314,0.9027839905826957,39.47,5.690000000000001,0.6823387626441828,33.72,31.1,1699
600161,27.97927015891701,27.078169511477338,0.9011006474396702,53.49,5.699999999999996,0.7055376861639494,37.160000000000004,33.290000000000006,1699
